,page_number,x0,x1,y0,y1,top,width,height,text,upright
1359,1.0,470.8215,475.1693644,611.0975494,618.9174494,222.9725506,4.347864399999992,7.819899999999961,6,1.0
1360,1.0,475.1693644,477.3432966,611.0975494,618.9174494,222.9725506,2.1739322000000243,7.819899999999961,.,1.0
1361,1.0,477.3432966,481.691161,611.0975494,618.9174494,222.9725506,4.347864399999992,7.819899999999961,5,1.0
1362,1.0,481.691161,486.0390254,611.0975494,618.9174494,222.9725506,4.347864399999992,7.819899999999961,5,1.0
1363,1.0,470.8215,475.1693644,603.0899718000001,610.9098718,230.9801282,4.347864399999992,7.819899999999961,6,1.0
1364,1.0,475.1693644,477.3432966,603.0899718000001,610.9098718,230.9801282,2.1739322000000243,7.819899999999961,.,1.0
1365,1.0,477.3432966,481.691161,603.0899718000001,610.9098718,230.9801282,4.347864399999992,7.819899999999961,5,1.0
1366,1.0,481.691161,486.0390254,603.0899718000001,610.9098718,230.9801282,4.347864399999992,7.819899999999961,6,1.0
1367,1.0,470.8215,475.1693644,595.0823942000001,602.9022942,238.9877058,4.347864399999992,7.819899999999961,6,1.0
1368,1.0,475.1693644,477.3432966,595.0823942000001,602.9022942,238.9877058,2.1739322000000243,7.819899999999961,.,1.0
1369,1.0,477.3432966,481.691161,595.0823942000001,602.9022942,238.9877058,4.347864399999992,7.819899999999961,5,1.0
1370,1.0,481.691161,486.0390254,595.0823942000001,602.9022942,238.9877058,4.347864399999992,7.819899999999961,7,1.0
1371,1.0,470.8215,475.1693644,587.0748166000001,594.8947166,246.99528339999995,4.347864399999992,7.819899999999961,6,1.0
1372,1.0,475.1693644,477.3432966,587.0748166000001,594.8947166,246.99528339999995,2.1739322000000243,7.819899999999961,.,1.0
1373,1.0,477.3432966,481.691161,587.0748166000001,594.8947166,246.99528339999995,4.347864399999992,7.819899999999961,5,1.0
1374,1.0,481.691161,486.0390254,587.0748166000001,594.8947166,246.99528339999995,4.347864399999992,7.819899999999961,9,1.0
1375,1.0,492.71722,497.0650844,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,6,1.0
1376,1.0,497.0650844,499.2390166,763.2649835000001,771.0848835,70.80511649999994,2.1739322000000243,7.819899999999961,.,1.0
1377,1.0,499.2390166,503.586881,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,3,1.0
1378,1.0,503.586881,507.9347454,763.2649835000001,771.0848835,70.80511649999994,4.347864399999992,7.819899999999961,5,1.0
1379,1.0,492.71722,497.0650844,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,6,1.0
1380,1.0,497.0650844,499.2390166,755.2574059000001,763.0773059,78.81269409999993,2.1739322000000243,7.819899999999961,.,1.0
1381,1.0,499.2390166,503.586881,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,3,1.0
1382,1.0,503.586881,507.9347454,755.2574059000001,763.0773059,78.81269409999993,4.347864399999992,7.819899999999961,6,1.0
1383,1.0,492.71722,497.0650844,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,6,1.0
1384,1.0,497.0650844,499.2390166,747.2498283000001,755.0697283000001,86.82027169999992,2.1739322000000243,7.819899999999961,.,1.0
1385,1.0,499.2390166,503.586881,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,3,1.0
1386,1.0,503.586881,507.9347454,747.2498283000001,755.0697283000001,86.82027169999992,4.347864399999992,7.819899999999961,7,1.0
1387,1.0,492.71722,497.0650844,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,6,1.0
1388,1.0,497.0650844,499.2390166,739.2422507000001,747.0621507000001,94.82784929999993,2.1739322000000243,7.819899999999961,.,1.0
1389,1.0,499.2390166,503.586881,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,3,1.0
1390,1.0,503.586881,507.9347454,739.2422507000001,747.0621507000001,94.82784929999993,4.347864399999992,7.819899999999961,8,1.0
1391,1.0,492.71722,497.0650844,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,6,1.0
1392,1.0,497.0650844,499.2390166,731.2346731000001,739.0545731000001,102.8354268999999,2.1739322000000243,7.819899999999961,.,1.0
1393,1.0,499.2390166,503.586881,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,3,1.0
1394,1.0,503.586881,507.9347454,731.2346731000001,739.0545731000001,102.8354268999999,4.347864399999992,7.819899999999961,9,1.0
1395,1.0,492.71722,497.0650844,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,6,1.0
1396,1.0,497.0650844,499.2390166,723.2270955000001,731.0469955000001,110.84300449999988,2.1739322000000243,7.819899999999961,.,1.0
1397,1.0,499.2390166,503.586881,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,4,1.0
1398,1.0,503.586881,507.9347454,723.2270955000001,731.0469955000001,110.84300449999988,4.347864399999992,7.819899999999961,0,1.0
1399,1.0,492.71722,497.0650844,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,6,1.0
1400,1.0,497.0650844,499.2390166,715.2195179000001,723.0394179000001,118.85058209999988,2.1739322000000243,7.819899999999961,.,1.0
1401,1.0,499.2390166,503.586881,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,4,1.0
1402,1.0,503.586881,507.9347454,715.2195179000001,723.0394179000001,118.85058209999988,4.347864399999992,7.819899999999961,1,1.0
1403,1.0,492.71722,497.0650844,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,6,1.0
1404,1.0,497.0650844,499.2390166,707.2119403000002,715.0318403000001,126.85815969999987,2.1739322000000243,7.819899999999961,.,1.0
1405,1.0,499.2390166,503.586881,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,4,1.0
1406,1.0,503.586881,507.9347454,707.2119403000002,715.0318403000001,126.85815969999987,4.347864399999992,7.819899999999961,2,1.0
1407,1.0,492.71722,497.0650844,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,6,1.0
1408,1.0,497.0650844,499.2390166,699.2043627000002,707.0242627000001,134.86573729999986,2.1739322000000243,7.819899999999961,.,1.0
1409,1.0,499.2390166,503.586881,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,4,1.0
1410,1.0,503.586881,507.9347454,699.2043627000002,707.0242627000001,134.86573729999986,4.347864399999992,7.819899999999961,4,1.0
1411,1.0,492.71722,497.0650844,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,6,1.0
1412,1.0,497.0650844,499.2390166,691.1967851000002,699.0166851000001,142.87331489999983,2.1739322000000243,7.819899999999961,.,1.0
1413,1.0,499.2390166,503.586881,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,4,1.0
1414,1.0,503.586881,507.9347454,691.1967851000002,699.0166851000001,142.87331489999983,4.347864399999992,7.819899999999961,6,1.0
1415,1.0,492.71722,497.0650844,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,6,1.0
1416,1.0,497.0650844,499.2390166,683.1892075000002,691.0091075000001,150.88089249999985,2.1739322000000243,7.819899999999961,.,1.0
1417,1.0,499.2390166,503.586881,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,4,1.0
1418,1.0,503.586881,507.9347454,683.1892075000002,691.0091075000001,150.88089249999985,4.347864399999992,7.819899999999961,7,1.0
1419,1.0,492.71722,497.0650844,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,6,1.0
1420,1.0,497.0650844,499.2390166,675.1816299000002,683.0015299000002,158.88847009999984,2.1739322000000243,7.819899999999961,.,1.0
1421,1.0,499.2390166,503.586881,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,4,1.0
1422,1.0,503.586881,507.9347454,675.1816299000002,683.0015299000002,158.88847009999984,4.347864399999992,7.819899999999961,8,1.0
1423,1.0,492.71722,497.0650844,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,6,1.0
1424,1.0,497.0650844,499.2390166,667.1740523000002,674.9939523000002,166.89604769999983,2.1739322000000243,7.819899999999961,.,1.0
1425,1.0,499.2390166,503.586881,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,5,1.0
1426,1.0,503.586881,507.9347454,667.1740523000002,674.9939523000002,166.89604769999983,4.347864399999992,7.819899999999961,0,1.0
1427,1.0,492.71722,497.0650844,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,6,1.0
1428,1.0,497.0650844,499.2390166,659.1664747000002,666.9863747000002,174.90362529999982,2.1739322000000243,7.819899999999961,.,1.0
1429,1.0,499.2390166,503.586881,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,5,1.0
1430,1.0,503.586881,507.9347454,659.1664747000002,666.9863747000002,174.90362529999982,4.347864399999992,7.819899999999961,1,1.0
1431,1.0,492.71722,497.0650844,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,6,1.0
1432,1.0,497.0650844,499.2390166,651.1588971000002,658.9787971000002,182.9112028999998,2.1739322000000243,7.819899999999961,.,1.0
1433,1.0,499.2390166,503.586881,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,5,1.0
1434,1.0,503.586881,507.9347454,651.1588971000002,658.9787971000002,182.9112028999998,4.347864399999992,7.819899999999961,2,1.0
1435,1.0,492.71722,497.0650844,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,6,1.0
1436,1.0,497.0650844,499.2390166,643.1513195000002,650.9712195000002,190.9187804999998,2.1739322000000243,7.819899999999961,.,1.0
1437,1.0,499.2390166,503.586881,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,5,1.0
1438,1.0,503.586881,507.9347454,643.1513195000002,650.9712195000002,190.9187804999998,4.347864399999992,7.819899999999961,4,1.0
1439,1.0,492.71722,497.0650844,635.1437419000002,642.9636419000002,198.9263580999998,4.347864399999992,7.819899999999961,6,1.0
1440,1.0,497.0650844,499.2390166,635.1437419000002,642.9636419000002,198.9263580999998,2.1739322000000243,7.819899999999961,.,1.0
1441,1.0,499.2390166,503.586881,635.1437419000002,642.9636419000002,198.9263580999998,4.347864399999992,7.819899999999961,5,1.0
